Date,Open,High,Low,Close,Adj Close,Volume
2020-12-07,615.780029,616.349976,611.780029,616.200012,616.200012,78600
2020-12-08,615.369995,618.359985,613.750000,616.590027,616.590027,80300
2020-12-09,619.330017,622.010010,617.940002,619.719971,619.719971,91000
2020-12-10,619.390015,621.619995,614.090027,618.099976,618.099976,113800
2020-12-11,616.919983,618.020020,611.460022,614.460022,614.460022,114400
2020-12-14,617.989990,619.559998,612.880005,612.880005,612.880005,91600
2020-12-15,612.219971,618.590027,611.530029,617.340027,617.340027,102000
2020-12-16,620.989990,623.609985,618.109985,621.859985,621.859985,113500
2020-12-17,625.359985,626.469971,624.349976,624.750000,624.750000,96500
2020-12-18,623.690002,628.890015,623.169983,625.250000,625.250000,189600
2020-12-21,615.640015,617.309998,602.640015,609.390015,609.390015,142000
2020-12-22,611.869995,618.859985,611.830017,617.500000,617.500000,66100
2020-12-23,618.460022,623.640015,618.450012,622.419983,622.419983,67600
2020-12-24,623.919983,626.460022,623.619995,626.369995,626.369995,23805300
2020-12-28,627.539978,627.590027,627.539978,627.590027,627.590027,54800
2020-12-29,629.169983,633.119995,628.400024,629.140015,629.140015,55300
2020-12-30,630.109985,631.049988,627.590027,628.059998,628.059998,44600
2020-12-31,625.190002,628.049988,623.940002,624.609985,624.609985,25300
2021-01-04,632.020020,636.239990,629.409973,631.030029,631.030029,93100
2021-01-05,629.940002,634.109985,628.979980,633.619995,633.619995,102300
2021-01-06,636.570007,641.250000,631.400024,639.159973,639.159973,142600
2021-01-07,641.280029,642.390015,635.960022,637.409973,637.409973,108900
2021-01-08,643.039978,645.599976,642.200012,645.599976,645.599976,102300
2021-01-11,645.159973,646.919983,639.520020,642.419983,642.419983,85500
2021-01-12,645.950012,646.059998,641.429993,643.580017,643.580017,88800
2021-01-13,644.239990,645.419983,641.440002,644.380005,644.380005,87600
2021-01-14,650.369995,656.659973,649.140015,656.659973,656.659973,88000
2021-01-15,654.390015,655.239990,647.539978,651.729980,651.729980,113400
2021-01-18,648.849976,651.609985,648.830017,650.299988,650.299988,62060600
2021-01-19,654.549988,654.549988,649.130005,651.280029,651.280029,77667900
2021-01-20,655.659973,661.090027,654.539978,659.299988,659.299988,69100
2021-01-21,663.460022,666.659973,662.479980,663.880005,663.880005,68800
2021-01-22,660.150024,660.890015,655.900024,660.530029,660.530029,72300
2021-01-25,666.940002,667.849976,655.159973,658.239990,658.239990,96500
2021-01-26,656.580017,662.469971,656.070007,658.539978,658.539978,86100
2021-01-27,654.340027,656.359985,642.090027,647.919983,647.919983,136100
2021-01-28,639.549988,650.119995,633.679993,649.000000,649.000000,109859000
2021-01-29,641.330017,644.940002,637.109985,637.109985,637.109985,102100
2021-02-01,642.659973,648.880005,642.219971,647.340027,647.340027,81300
2021-02-02,651.340027,654.580017,650.880005,652.869995,652.869995,93400
2021-02-03,658.219971,659.159973,651.489990,654.890015,654.890015,83800
2021-02-04,652.530029,655.799988,651.609985,654.380005,654.380005,92800
2021-02-05,657.700012,657.700012,652.260010,653.239990,653.239990,84300
2021-02-08,657.729980,658.250000,654.380005,656.390015,656.390015,82400
2021-02-09,657.539978,657.979980,653.869995,657.070007,657.070007,76200
2021-02-10,660.500000,663.229980,654.489990,657.229980,657.229980,103800
2021-02-11,659.880005,664.340027,658.190002,664.340027,664.340027,110900
2021-02-12,665.159973,677.239990,665.159973,676.830017,676.830017,135600
2021-02-15,680.429993,686.979980,679.080017,685.179993,685.179993,119790800
2021-02-16,686.940002,689.239990,685.760010,687.429993,687.429993,90700
2021-02-17,686.549988,688.830017,681.039978,681.039978,681.039978,112900
2021-02-18,681.440002,683.510010,670.409973,672.809998,672.809998,99800
2021-02-19,674.450012,679.789978,671.739990,678.479980,678.479980,98600
2021-02-22,672.159973,673.130005,666.090027,671.750000,671.750000,96800
2021-02-23,669.619995,669.619995,653.940002,664.059998,664.059998,191000
2021-02-24,662.429993,666.590027,659.559998,664.539978,664.539978,112900
2021-02-25,670.229980,671.489990,664.479980,664.479980,664.479980,115300
2021-02-26,651.210022,658.229980,647.900024,651.260010,651.260010,133500
2021-03-01,662.020020,665.690002,658.619995,664.580017,664.580017,104100
2021-03-02,662.359985,668.239990,660.270020,663.260010,663.260010,103300
2021-03-03,667.599976,668.669983,658.859985,663.349976,663.349976,110800
2021-03-04,656.880005,661.359985,652.169983,657.669983,657.669983,110600
2021-03-05,650.849976,662.739990,649.969971,653.869995,653.869995,129300
2021-03-08,657.960022,665.650024,657.960022,665.650024,665.650024,128700
2021-03-09,665.289978,676.469971,665.080017,675.099976,675.099976,122100
2021-03-10,675.299988,681.380005,673.260010,678.030029,678.030029,111900
2021-03-11,682.530029,684.760010,681.049988,683.710022,683.710022,113200
2021-03-12,679.799988,679.890015,675.469971,677.409973,677.409973,91451700
2021-03-15,678.429993,681.539978,676.140015,678.799988,678.799988,93648000
2021-03-16,682.739990,684.450012,679.650024,683.650024,683.650024,1068000
2021-03-17,682.219971,684.400024,679.109985,680.710022,680.710022,921800
2021-03-18,684.049988,684.460022,680.159973,682.390015,682.390015,107961600
2021-03-19,675.890015,683.429993,675.890015,681.700012,681.700012,259922500
2021-03-22,678.380005,684.229980,677.859985,684.210022,684.210022,88569000
2021-03-23,681.190002,684.289978,679.479980,681.739990,681.739990,116222500
2021-03-24,682.590027,687.960022,681.619995,686.130005,686.130005,95678200
2021-03-25,684.320007,686.479980,677.330017,685.330017,685.330017,83589900
2021-03-26,690.690002,697.940002,689.679993,696.619995,696.619995,83307700
2021-03-29,697.940002,700.849976,696.919983,697.940002,697.940002,77800
2021-03-30,700.820007,702.440002,696.960022,701.119995,701.119995,75420500
2021-03-31,700.809998,704.250000,699.690002,699.849976,699.849976,86112200
2021-04-01,707.049988,710.950012,704.530029,708.429993,708.429993,64900
2021-04-06,716.809998,717.690002,711.909973,713.280029,713.280029,81300
2021-04-07,711.900024,712.849976,709.630005,710.080017,710.080017,73900
2021-04-08,713.460022,713.969971,710.700012,713.380005,713.380005,118000
2021-04-09,713.460022,714.109985,711.599976,713.359985,713.359985,84825000
2021-04-12,711.940002,713.479980,706.700012,707.349976,707.349976,68600
2021-04-13,709.099976,710.849976,706.099976,708.599976,708.599976,69600
2021-04-14,708.830017,713.309998,708.440002,712.549988,712.549988,70200
2021-04-15,713.210022,714.979980,712.369995,713.799988,713.799988,71100
2021-04-16,714.479980,716.799988,712.570007,716.799988,716.799988,80786700
2021-04-19,717.049988,718.500000,710.619995,711.940002,711.940002,60100
2021-04-20,710.880005,713.380005,699.059998,700.190002,700.190002,83300
2021-04-21,707.159973,710.619995,704.630005,709.359985,709.359985,99900
